year,coast_region,water_class,mean_WUE_T_pct_change,mean_abs_WUE_T_pct_change,pct_pixels_increase,pct_pixels_decrease,pct_Stable,pct_Mild,pct_Moderate,pct_Large,pct_Strong
2012,Gulf Coast,Freshwater,-2.6838,2.6838,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2012,Gulf Coast,Saline,-2.8169,2.8169,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2012,Atlantic Coast,Upland,0.4846,1.6159,61.0,39.0,18.25,16.84,37.33,27.59,0.0
2012,Atlantic Coast,Freshwater,-2.6838,2.6838,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2012,Atlantic Coast,Saline,-2.8168,2.8168,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,AK Coast,Upland,2.5409,4.6955,59.67,40.33,4.55,4.71,18.22,39.05,33.47
2013,AK Coast,Freshwater,-2.6843,2.6843,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,AK Coast,Saline,-2.8165,2.8165,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,Pacific Coast,Upland,0.8493,1.4721,58.75,41.25,19.67,22.79,33.98,23.56,0.0
2013,Pacific Coast,Freshwater,-2.6836,2.6836,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,Pacific Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,Gulf Coast,Upland,27.3393,33.0635,80.26,19.74,0.58,0.29,1.31,4.09,93.71
2013,Gulf Coast,Freshwater,-2.6833,2.6833,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,Gulf Coast,Saline,-2.8169,2.8169,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,Atlantic Coast,Upland,-0.0814,1.5825,50.49,49.51,16.25,16.28,46.11,21.37,0.0
2013,Atlantic Coast,Freshwater,-2.6841,2.6841,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2013,Atlantic Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2014,AK Coast,Upland,0.8947,3.9913,44.06,55.94,5.14,5.44,19.25,49.62,20.54
2014,AK Coast,Freshwater,-2.684,2.684,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2014,AK Coast,Saline,-2.8167,2.8167,0.0,100.0,0.0,0.0,0.0,100.0,0.0
2014,Pacific Coast,Upland,0.4605,1.339,48.67,51.32,19.64,22.32,40.4,17.64,0.0
