year,month,coast_region,n_pixels,mean_SPEI3,mean_EDI,pct_None,pct_Watch,pct_Stress,pct_Impact
2006,5,Pacific Coast,283,0.3604,0.5451,0.0,2.83,97.17,0.0
2006,5,Gulf Coast,57,1.3586,0.5694,0.0,0.0,100.0,0.0
2006,5,Atlantic Coast,835,-1.5023,0.4995,0.0,58.32,41.68,0.0
2006,6,AK Coast,1904,0.7093,0.5536,0.0,0.21,99.79,0.0
2006,6,Pacific Coast,283,0.16,0.5402,0.0,0.35,99.65,0.0
2006,6,Gulf Coast,57,1.3484,0.5691,0.0,0.0,100.0,0.0
2006,6,Atlantic Coast,835,-0.2449,0.5302,0.0,16.05,83.95,0.0
2006,7,AK Coast,1904,0.4597,0.5475,0.0,1.16,98.84,0.0
2006,7,Pacific Coast,283,-0.3299,0.5283,0.0,0.0,100.0,0.0
2006,7,Gulf Coast,57,-0.1265,0.5333,0.0,0.0,100.0,0.0
2006,7,Atlantic Coast,835,-0.0582,0.5348,0.0,15.81,84.19,0.0
2006,8,AK Coast,1904,0.7125,0.5537,0.0,0.42,99.58,0.0
2006,8,Pacific Coast,283,-0.7562,0.5178,0.0,2.47,97.53,0.0
2006,8,Gulf Coast,57,-0.6011,0.5216,0.0,0.0,100.0,0.0
2006,8,Atlantic Coast,835,-0.0628,0.5347,0.0,9.34,90.66,0.0
2006,9,AK Coast,1904,0.4934,0.5484,0.0,0.26,99.74,0.0
2006,9,Pacific Coast,283,-1.191,0.5071,0.0,21.55,78.45,0.0
2006,9,Gulf Coast,57,-0.6788,0.5197,0.0,0.0,100.0,0.0
2006,9,Atlantic Coast,835,-0.4035,0.5265,0.0,13.77,86.23,0.0
2006,10,AK Coast,1904,0.661,0.5524,0.0,0.16,99.84,0.0
2006,10,Pacific Coast,283,-1.2056,0.5067,0.0,48.41,51.59,0.0
2006,10,Gulf Coast,57,-0.2729,0.5297,0.0,0.0,100.0,0.0
2006,10,Atlantic Coast,835,-0.22,0.5309,0.0,11.98,88.02,0.0
2006,11,AK Coast,1904,-0.0084,0.5361,0.0,5.46,94.54,0.0
2006,11,Pacific Coast,283,0.4553,0.5475,0.0,0.0,100.0,0.0
2006,11,Gulf Coast,57,-0.9058,0.5141,0.0,0.0,100.0,0.0
2006,11,Atlantic Coast,835,0.0836,0.5383,0.0,9.46,90.54,0.0
