"site_name","water_class","SPEI_timescale","n_months","slope","r_squared","correlation"
"US-EKH","Saline","SPEI_24",15,0.193105441548053,0.0180571617091365,0.134376938903729
"US-EKN","Saline","SPEI_24",6,-0.617946625270492,0.674475817292494,-0.821264766864191
"US-EKP","Saline","SPEI_24",13,-0.222546206267476,0.102560800289891,-0.320251151894714
"US-Elm","Freshwater","SPEI_24",43,0.00302394599534789,0.000149297991634503,0.0122187557318453
"US-Esm","Freshwater","SPEI_24",50,-0.0117540661188283,0.000398651477395474,-0.0199662584726201
"US-Fo1","Freshwater","SPEI_24",7,-4.15389172069679,0.00809305389872407,-0.089961402271886
"US-GCE","Saline","SPEI_24",25,0.328827694523862,0.0315741742739599,0.177691232968765
"US-HB1","Saline","SPEI_24",47,0.228625318085081,0.170862980608605,0.41335575550439
"US-HB2","Upland","SPEI_24",47,0.493418938134021,0.347233939332341,0.58926559320254
"US-HB3","Upland","SPEI_24",40,0.129036116148721,0.0433083522222469,0.208106588608451
"US-KPL","Freshwater","SPEI_24",10,0.254539462195711,0.0166705739304448,0.129114576754311
"US-KS1","Upland","SPEI_24",8,-0.1397337367715,0.00139121022160516,-0.0372989305691887
"US-KS2","Upland","SPEI_24",46,-0.167388926463187,0.00680559830241642,-0.0824960502231253
"US-KS3","Saline","SPEI_24",6,-0.89852826652713,0.122889311294582,-0.350555717817556
"US-KS4","Saline","SPEI_24",31,0.250521346828097,0.00103718605192529,0.0322053730288173
"US-LA2","Freshwater","SPEI_24",37,-0.40687239444737,0.0898593977576906,-0.299765571334819
"US-LA3","Saline","SPEI_24",25,-0.0371237012999336,0.0022723726454526,-0.0476694099549448
"US-MCP","Freshwater","SPEI_24",18,-0.339997718907224,0.0201972165741697,-0.142116911640275
"US-MRf","Upland","SPEI_24",41,-0.721844958602632,0.0247799448201102,-0.15741646934203
"US-Myb","Freshwater","SPEI_24",82,0.0614641424090522,0.0472369053052172,0.21734052844607
"US-NC4","Freshwater","SPEI_24",78,-0.188807829452428,0.0836810408435792,-0.289276754758448
"US-NGC","Upland","SPEI_24",19,0.924179027723813,0.308748570611026,0.555651483045826
"US-ONA","Upland","SPEI_24",43,0.0947470008072574,0.00372227669301185,0.0610104637993505
"US-PAS","Upland","SPEI_24",11,1.52915068035205,0.258288221806812,0.508220642838139
"US-PHM","Saline","SPEI_24",32,0.0466381584143869,0.0169504596206446,0.130193930813401
"US-RRC","Freshwater","SPEI_24",20,0.164059812233289,0.0992396957745386,0.315023325762615
"US-SCg","Upland","SPEI_24",32,-1.16649615937868,0.0752097978682521,-0.274244048008798
"US-SCs","Upland","SPEI_24",17,-2.23267116212134,0.224895418239026,-0.474231397356846
"US-SO2","Upland","SPEI_24",27,-0.485632815430155,0.00975524178567624,-0.0987686275376763
"US-SO3","Upland","SPEI_24",26,0.806975865847904,0.0567631938134897,0.238250275579043
"US-SO4","Upland","SPEI_24",8,-6.21404991469464,0.299481400006962,-0.547248937876504
"US-Skr","Saline","SPEI_24",95,0.0614380435101185,0.00814623582995481,0.0902565002088759
"US-Slt","Upland","SPEI_24",81,-0.960045346928281,0.236408764255703,-0.486218843994865
"US-Snd","Upland","SPEI_24",55,0.105355957364513,0.0159048917374409,0.126114597638183
"US-Sne","Freshwater","SPEI_24",33,-2.52149661580093,0.72077359130318,-0.848983858093415
"US-StJ","Saline","SPEI_24",30,-0.429883954866913,0.0235085726407412,-0.153325055489118
"US-TaS","Saline","SPEI_24",28,0.0805990652094787,0.0239011612176911,0.154600003938199
"US-Tw1","Freshwater","SPEI_24",62,0.0334095558378082,0.0063713528268551,0.0798207543616013
"US-Tw3","Freshwater","SPEI_24",35,-0.104420766387711,0.0636349063397022,-0.252259601085275
"US-Tw4","Freshwater","SPEI_24",60,0.0817226772587097,0.0182373325724546,0.135045668469798
"US-Tw5","Freshwater","SPEI_24",11,-4.91463969697214,0.621181755757809,-0.788150845814308
"US-Twt","Upland","SPEI_24",30,-0.0394893081102033,0.00193715015759963,-0.0440130680321155
"US-xBA","Freshwater","SPEI_24",19,-0.62987209885998,0.0209714630426546,-0.144815272131963
