"site_name","water_class","n_months","mean_TET","mean_WUE_T","var_WUE_T","cv_WUE_T","stability","plasticity_slope_SPEI3","plasticity_r2_SPEI3","plasticity_range","plasticity_p95_p05","WUE_T_max","WUE_T_min","resistance","mean_WUE_T_drought","mean_WUE_T_near_normal","n_events","mean_recovery","pct_full_recovery"
"US-NC4","Freshwater",78,0.727518324179376,2.74379813144951,0.47802480284892,0.251984054461986,5.73986562014585,-0.0014899267588742,3.22465936984128e-06,3.41366947484283,2.194539507159,4.64323759286532,1.36018956348406,0.87616435293661,2.51374410471574,2.86903261504592,1,1.04807656752774,100
"US-NGC","Upland",19,0.407084695323169,6.22190861095147,2.36955150600284,0.247405556255535,2.62577479121655,0.410221600266302,0.10751618215117,2.78525532379606,2.02266855530721,9.2740568829226,3.32969721076876,NA,NA,NA,NA,NA,NA
"US-ONA","Upland",43,0.47862582659326,3.98914096998964,1.21418018869596,0.276224494404139,3.28546043423259,-0.27553209879655,0.0423446761670226,3.11674158219814,2.17686390709095,6.82785339162098,2.19070244085027,1.25270683245112,4.82697705537508,3.85323758946084,NA,NA,NA
"US-PAS","Upland",11,0.567951995198908,5.50359728098095,0.574227459610395,0.137687758833799,9.58435057201036,0.102194572632082,0.0134644256376343,1.45105393267648,1.42211900582622,6.41060727540332,4.41789731659313,0.878737415840665,5.02633840858651,5.71995492393817,NA,NA,NA
"US-PHM","Saline",32,0.66619695420262,2.54235751186982,0.135422865802705,0.144746935570516,18.7734729788819,0.205782406978785,0.303392637472392,1.8871315962379,1.6160006897979,3.3870728610463,1.79482600354878,0.791008584305826,2.08265365523906,2.63290904366955,1,1.00367074434796,100
"US-RRC","Freshwater",20,0.83343335332597,2.00530325546037,0.270365618580847,0.259295913710975,7.41700540914275,0.081589623205938,0.0116795171003692,3.17030004101033,2.49403413571495,2.98734990810926,0.942292486346887,NA,NA,NA,NA,NA,NA
"US-SCg","Upland",32,0.3729668955615,8.61502263991034,18.9380602566325,0.505139492907548,0.454905229108306,-1.88083328840493,0.122097765482508,13.1488547966345,4.49708005254159,19.0613604697116,1.44965936307932,1.4630312424536,11.2964006675469,7.72122996403147,3,0.937299363738301,66.6666666666667
"US-SCs","Upland",17,0.459150614500054,10.0034298028085,18.5114952719541,0.430102355795671,0.540390155189909,-4.71758504826291,0.438565091127336,3.52403963611651,2.9742793924741,20.1613011840343,5.72107673744897,NA,NA,NA,NA,NA,NA
"US-SO2","Upland",27,0.28282864207883,6.49714297618081,13.7652986855716,0.571045082123861,0.471994333329719,-2.00709413364154,0.18490306210568,7.68346694473753,5.620265882184,16.7311447276557,2.17755146836611,NA,NA,NA,NA,NA,NA
"US-SO3","Upland",26,0.286007717639961,3.93726247377318,8.58368780693637,0.744119335027482,0.458691248135973,-0.170325974558784,0.00377590135612322,69.7219098734253,21.5139374689189,10.6581698876671,0.152866866484527,2.08078753763526,6.19500528901634,2.97724067304668,1,0.543372833216511,0
"US-SO4","Upland",8,0.181646731514593,10.3493854606223,24.8722705069952,0.4818847179903,0.416101355029553,-7.66587763614048,0.424933023684841,5.00782704593772,3.87424681730804,17.9173349842262,3.57786617226737,NA,NA,NA,NA,NA,NA
"US-Skr","Saline",95,0.692724600631198,2.2601033224581,0.374718273862064,0.27084707055873,6.03147345648281,-0.0681231601772907,0.0122682037331741,2.79294852172668,2.22840676666295,3.90976221666251,1.39986905818278,1.0184158722327,2.30945776475674,2.26769616197521,6,0.922590748978043,33.3333333333333
"US-Slt","Upland",81,0.771237259585784,2.09132799525487,2.6125881503726,0.772882235479391,0.800481313886617,-0.458169792352586,0.066923212967077,29.8061859254776,19.7700920840075,5.53038229165109,0.1855447827333,1.7552961956805,3.4535369137576,1.96749524225951,2,0.998636131208446,50
"US-Snd","Upland",55,0.56239470357506,3.80216822596743,0.646479988333447,0.211468758079578,5.8813393988714,0.199128815525526,0.0772326510543734,2.39854817874025,2.07216286851957,5.66413966611651,2.36148671780752,0.944668312928266,3.55582469154789,3.76409861840883,2,0.969007222671105,50
"US-Sne","Freshwater",33,0.455783676628571,1.63159022548021,1.63463414372183,0.783608590048142,0.998137859622406,-0.29685959731753,0.0792431372853395,20.8154401592189,16.0936432505048,4.37008163733375,0.209944233891124,1.53989049520607,2.39557310147881,1.55567756859116,1,1.97191293385768,100
"US-StJ","Saline",30,0.561468538882471,6.76306816787552,2.01796873292589,0.210045533786516,3.35142366555385,0.286646455003423,0.0209207801380141,2.21221344021863,1.94666541020809,9.65141727546548,4.36278755928345,NA,NA,NA,NA,NA,NA
"US-TaS","Saline",28,0.212804981892579,3.24927028637582,0.53259419824613,0.224601357340726,6.10083680422335,0.337751816274887,0.278910100441056,2.51352625919195,2.10866895784519,4.84150846226349,1.92618177134937,0.8965190023547,2.89211799181013,3.22594165233978,2,1.00038932384556,50
"US-Tw1","Freshwater",62,0.539874981626514,3.3686392716348,0.346077298749133,0.174635305711202,9.73377706024192,0.0268646119527524,0.0030162750927326,2.11375569072689,1.67326708646951,5.06846250778565,2.39784688931704,1.02952923086747,3.40281409838245,3.30521368054337,2,0.99031074851122,0
"US-Tw3","Freshwater",35,0.590565807369299,4.04533271086132,0.435658820297939,0.163161995935569,9.28555218529672,-0.0236604122934738,0.00137444973444698,1.94620662383034,1.65078642058663,5.57163231030454,2.86281643587204,0.924893674347795,3.84187900415038,4.15386017950609,2,0.904184365494167,0
"US-Tw4","Freshwater",60,0.48095358066604,3.6544531319693,0.79930231251318,0.244643194065073,4.57205374582103,0.0334814772808437,0.00177019277184689,4.0157409849301,2.19999977854337,5.95648183069837,1.4832833723717,1.02847314533325,3.70293432367521,3.60041906828337,1,1.0073815816875,100
"US-Tw5","Freshwater",11,0.484056417410463,3.3333217306808,1.35605900412735,0.349351055537972,2.45809490629492,0.957581807188402,0.328196400028075,3.49899431223967,2.99433281601959,5.19989956204121,1.48611260780039,NA,NA,NA,NA,NA,NA
"US-Twt","Upland",30,0.598608758607481,2.89044059107291,0.91591759889386,0.331103791884562,3.15578671549018,-0.13208871953093,0.0211862491204088,10.0697609982531,3.11398926285319,5.00447850479995,0.496980862372816,1.46627974781068,3.95918380450986,2.7001558266227,2,1.0513102290175,50
"US-xBA","Freshwater",19,0.554926769623639,4.14754802296335,5.17924191019939,0.548708483635722,0.800802143417101,0.315470424621193,0.0275376851485862,13.4896149698272,5.2077052660419,9.85342891508762,0.730445526957383,NA,NA,NA,NA,NA,NA
"US-xSB","Upland",43,0.318552873514131,7.46084303088513,7.44871306914925,0.365807596248853,1.00162846408813,-0.482893939501487,0.020935323885979,5.94576819791462,2.8977744001902,16.0181919045508,2.69404917436387,1.2410979576754,8.89071146168622,7.16358560313698,2,0.864750689708975,0
"US-xSE","Upland",42,0.625508332504854,4.57124854034546,4.47128193944151,0.462573972748501,1.02235748097702,-1.29988727934378,0.222126354916406,28.8012437731597,16.2578803024971,9.49078953990466,0.32952707232558,1.06271990251122,5.20575078176024,4.8985163159728,NA,NA,NA
