"site_name","metric","SPEI_timescale","month_f","baseline_WUE","baseline_n"
"US-ONA","WUE_T","SPEI_48","4",5.02312035725413,5
"US-ONA","WUE_T","SPEI_48","5",4.09874971278277,6
"US-ONA","WUE_T","SPEI_48","6",3.72636901238118,6
"US-ONA","WUE_T","SPEI_48","7",3.66385188418143,6
"US-ONA","WUE_T","SPEI_48","8",3.34332148475075,6
"US-ONA","WUE_T","SPEI_48","9",3.49539666340121,7
"US-OPE","WUE_ET","SPEI_48","7",4.70109786903502,1
"US-OPE","WUE_ET","SPEI_48","8",4.70785385302411,1
"US-OPE","WUE_ET","SPEI_48","9",4.12341828350214,1
"US-OPE","WUE_T","SPEI_48","7",7.888262894403,1
"US-OPE","WUE_T","SPEI_48","8",7.51480198170129,1
"US-OPE","WUE_T","SPEI_48","9",8.08000821067392,1
"US-PAS","WUE_ET","SPEI_48","5",3.06627036584796,2
"US-PAS","WUE_ET","SPEI_48","6",3.271617346846,1
"US-PAS","WUE_ET","SPEI_48","7",3.8386891284583,1
"US-PAS","WUE_ET","SPEI_48","8",3.35980542617045,1
"US-PAS","WUE_ET","SPEI_48","9",2.82318278123847,2
"US-PAS","WUE_ET","SPEI_48","10",2.62142866647137,2
"US-PAS","WUE_T","SPEI_48","5",4.95682540750742,2
"US-PAS","WUE_T","SPEI_48","6",4.7691992777074,1
"US-PAS","WUE_T","SPEI_48","7",6.31166131081145,1
"US-PAS","WUE_T","SPEI_48","8",6.41060727540332,1
"US-PAS","WUE_T","SPEI_48","9",6.188150660991,2
"US-PAS","WUE_T","SPEI_48","10",5.58744418126679,2
"US-PHM","WUE_ET","SPEI_48","5",1.36712543525043,3
"US-PHM","WUE_ET","SPEI_48","6",1.70682355406152,6
"US-PHM","WUE_ET","SPEI_48","7",2.02682787237229,5
"US-PHM","WUE_ET","SPEI_48","8",1.82190409311429,4
"US-PHM","WUE_ET","SPEI_48","9",1.62897099186096,4
"US-PHM","WUE_T","SPEI_48","5",2.41664184264061,3
"US-PHM","WUE_T","SPEI_48","6",2.55089487458548,6
"US-PHM","WUE_T","SPEI_48","7",2.78313090518358,5
"US-PHM","WUE_T","SPEI_48","8",2.63732676490706,4
"US-PHM","WUE_T","SPEI_48","9",2.63376963022898,4
"US-RRC","WUE_ET","SPEI_48","4",0.794620169291262,2
"US-RRC","WUE_ET","SPEI_48","5",1.75106723302688,3
"US-RRC","WUE_ET","SPEI_48","6",1.81362460670506,3
"US-RRC","WUE_ET","SPEI_48","7",2.05619302092434,4
"US-RRC","WUE_ET","SPEI_48","8",1.91330042262056,3
"US-RRC","WUE_ET","SPEI_48","9",1.39088363915376,4
"US-RRC","WUE_T","SPEI_48","4",1.15296314051293,2
"US-RRC","WUE_T","SPEI_48","5",2.19775389012002,3
"US-RRC","WUE_T","SPEI_48","6",2.13785861288276,3
"US-RRC","WUE_T","SPEI_48","7",2.46320883284639,4
"US-RRC","WUE_T","SPEI_48","8",2.22274342459233,3
"US-RRC","WUE_T","SPEI_48","9",1.79792842514185,4
"US-SCg","WUE_ET","SPEI_48","2",2.60176838599352,6
"US-SCg","WUE_ET","SPEI_48","3",2.67782178636214,7
"US-SCg","WUE_ET","SPEI_48","4",2.49423720263377,5
"US-SCg","WUE_ET","SPEI_48","5",0.565113400619368,1
"US-SCg","WUE_T","SPEI_48","2",10.8600128793989,6
