"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","SPEI_1","WUE_difference","simple_gam_fitted","simple_gam_residual"
"US-Ced",2011,10,"Upland","WUE_ET_minus_WUE_T",0.727179400071141,0.997923087198049,0.203941544671681,-0.876371317655824,-0.901568492595767,0.0251971749399433
"US-Ced",2012,5,"Upland","WUE_ET_minus_WUE_T",0.718472710672755,0.947767091302631,0.646397030693124,-1.0132743577984,-0.945511248988208,-0.0677631088101918
"US-Ced",2012,6,"Upland","WUE_ET_minus_WUE_T",0.805481686753119,1.4489934067791,0.441425009872163,-0.538617334319457,-0.528774379808787,-0.00984295451066952
"US-Ced",2012,8,"Upland","WUE_ET_minus_WUE_T",0.854925761791441,1.73382231374969,0.128078301123783,-0.419121187067167,-0.378156579649438,-0.0409646074177288
"US-Ced",2012,9,"Upland","WUE_ET_minus_WUE_T",0.786540153264847,1.33987828478259,0.444410305229252,-0.548770635477372,-0.643916513071117,0.0951458775937453
"US-Ced",2013,5,"Upland","WUE_ET_minus_WUE_T",0.688826841834971,0.776988278862211,0.0808019294131627,-0.920028108301667,-1.09165144495946,0.17162333665779
"US-Ced",2013,7,"Upland","WUE_ET_minus_WUE_T",0.814405116562627,1.50039796348486,0.29088179307087,-0.530486782169306,-0.517102181706821,-0.0133846004624854
"US-Ced",2013,8,"Upland","WUE_ET_minus_WUE_T",0.815287102037235,1.50547875341776,0.2468754676111,-0.52198523403854,-0.546620025315967,0.0246347912774265
"US-Ced",2013,9,"Upland","WUE_ET_minus_WUE_T",0.792524334300476,1.37435092366138,-0.945233717801286,-0.577893331001975,-0.618602960050262,0.0407096290482869
"US-Ced",2013,10,"Upland","WUE_ET_minus_WUE_T",0.790051770067388,1.36010740171504,-0.988844873004719,-0.560503049817656,-0.631121971945937,0.0706189221282809
"US-Ced",2014,5,"Upland","WUE_ET_minus_WUE_T",0.68734283802954,0.768439485472641,0.150632676226366,-0.935880570299719,-1.09955383451123,0.163673264211508
"US-Ced",2014,6,"Upland","WUE_ET_minus_WUE_T",0.757295383033449,1.17141005207403,-0.499229074795508,-0.813150514695524,-0.733023584134993,-0.0801269305605303
"US-Ced",2014,7,"Upland","WUE_ET_minus_WUE_T",0.82901937093513,1.58458524165487,0.954434013302159,-0.512228044201452,-0.45505744473135,-0.0571705994701022
"US-Ced",2014,8,"Upland","WUE_ET_minus_WUE_T",0.777789767380148,1.28947056969887,0.75210645888904,-0.747322629027111,-0.705379835484147,-0.0419427935429648
"US-Ced",2014,9,"Upland","WUE_ET_minus_WUE_T",0.769466859850777,1.2415253982588,-0.641137913014734,-0.771209162581031,-0.716195143670416,-0.0550140189106147
"US-Ced",2014,10,"Upland","WUE_ET_minus_WUE_T",0.744925469482062,1.10015158574755,0.0270703760850305,-0.865897858115476,-0.82327790824221,-0.0426199498732656
"US-CGG",2020,3,"Upland","WUE_ET_minus_WUE_T",0.544169398950239,-0.0563293898389318,-0.17001428196357,-1.81240899911209,-2.25580220385385,0.443393204741759
"US-CGG",2020,4,"Upland","WUE_ET_minus_WUE_T",0.466127108981759,-0.505901965157116,-0.0322040626884441,-2.72740494238659,-2.90556439437992,0.178159451993334
"US-CGG",2021,2,"Upland","WUE_ET_minus_WUE_T",0.151304207544846,-2.31947948351672,-0.649453458565462,-11.2674087354699,-9.77476446781846,-1.49264426765141
"US-CGG",2021,3,"Upland","WUE_ET_minus_WUE_T",0.299536446646414,-1.46556874480072,-0.293707060629872,-6.43460118589434,-4.83172782224011,-1.60287336365422
"US-CGG",2022,3,"Upland","WUE_ET_minus_WUE_T",0.557585119592976,0.0209535817594219,-0.891280025786415,-2.17399390148428,-2.13059677172891,-0.0433971297553715
"US-CGG",2022,4,"Upland","WUE_ET_minus_WUE_T",0.530297535846461,-0.136240028321546,0.224348525336364,-2.39489527626512,-2.3866670676875,-0.00822820857761997
"US-CGG",2023,2,"Upland","WUE_ET_minus_WUE_T",0.509978639264915,-0.253289626270033,0.448697473770403,-1.37275473845981,-2.55984154567377,1.18708680721396
"US-CGG",2024,3,"Upland","WUE_ET_minus_WUE_T",0.590382233950553,0.20988554634806,0.715904285578071,-1.7514628961987,-1.82594076545649,0.0744778692577901
"US-CGG",2024,4,"Upland","WUE_ET_minus_WUE_T",0.656379681489469,0.590072269040088,0.292679974868755,-1.49862588397032,-1.30992088450266,-0.18870499946766
