"site_name","water_class","coast_region","SPEI_timescale","n_months","SPEI_slope","SPEI_cor","mean_WUE_T"
"US-NC4","Freshwater","Atlantic Coast","SPEI_24",78,-0.188807829452428,-0.289276754758448,2.74379813144951
"US-NC4","Freshwater","Atlantic Coast","SPEI_36",78,-0.138148120584805,-0.241578527929164,2.74379813144951
"US-NC4","Freshwater","Atlantic Coast","SPEI_48",78,-0.1413689429176,-0.26889145591837,2.74379813144951
"US-NGC","Upland","AK Coast","SPEI_1",19,0.229995204490662,0.159783851930911,6.22190861095147
"US-NGC","Upland","AK Coast","SPEI_3",19,0.410221600266302,0.327896602835665,6.22190861095147
"US-NGC","Upland","AK Coast","SPEI_6",19,0.278075861588475,0.241690610638596,6.22190861095147
"US-NGC","Upland","AK Coast","SPEI_12",19,0.523302503874979,0.297069890032523,6.22190861095147
"US-NGC","Upland","AK Coast","SPEI_24",19,0.924179027723813,0.555651483045826,6.22190861095147
"US-NGC","Upland","AK Coast","SPEI_36",19,0.675731339172847,0.573720086124962,6.22190861095147
"US-NGC","Upland","AK Coast","SPEI_48",19,0.599129120159615,0.590266328896242,6.22190861095147
"US-ONA","Upland","Atlantic Coast","SPEI_1",43,0.0311031651796849,0.0273633514918648,3.98914096998964
"US-ONA","Upland","Atlantic Coast","SPEI_3",43,-0.27553209879655,-0.205778220827722,3.98914096998964
"US-ONA","Upland","Atlantic Coast","SPEI_6",43,-0.0173593517379353,-0.0129398296759725,3.98914096998964
"US-ONA","Upland","Atlantic Coast","SPEI_12",43,0.167234058445344,0.11401104226724,3.98914096998964
"US-ONA","Upland","Atlantic Coast","SPEI_24",43,0.0947470008072574,0.0610104637993505,3.98914096998964
"US-ONA","Upland","Atlantic Coast","SPEI_36",43,0.227462776202485,0.133749527981587,3.98914096998964
"US-ONA","Upland","Atlantic Coast","SPEI_48",43,0.222144818521191,0.106704103395486,3.98914096998964
"US-PAS","Upland","Atlantic Coast","SPEI_1",11,0.224514254396246,0.32369353944886,5.50359728098095
"US-PAS","Upland","Atlantic Coast","SPEI_3",11,0.102194572632082,0.11603631172023,5.50359728098095
"US-PAS","Upland","Atlantic Coast","SPEI_6",11,0.185880201650278,0.138722424704177,5.50359728098095
