"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","WUE_difference","smooth_fitted","smooth_residual"
"US-EDN",2018,9,"Saline","WUE_ET_minus_WUE_T",0.417237161141795,-0.787334615012884,-1.28206944535515,-1.39507711329833,0.11300766794318
"US-EDN",2019,3,"Saline","WUE_ET_minus_WUE_T",0.373007270391193,-1.03947649875694,-0.96947757151467,-1.75692374202349,0.787446170508817
"US-EDN",2019,4,"Saline","WUE_ET_minus_WUE_T",0.35243219067949,-1.15676910944743,-1.38450239229476,-1.96719700543201,0.582694613137252
"US-EDN",2019,6,"Saline","WUE_ET_minus_WUE_T",0.348999325827135,-1.17633888445303,-1.54473258285834,-1.84179441101068,0.297061828152338
"US-EDN",2019,7,"Saline","WUE_ET_minus_WUE_T",0.392570717236153,-0.927950916027623,-1.40812019925743,-1.52139791354386,0.113277714286437
"US-EDN",2019,9,"Saline","WUE_ET_minus_WUE_T",0.271735887762646,-1.61679551881308,-1.99964586616567,-3.22761720172633,1.22797133556066
"US-EDN",2020,3,"Saline","WUE_ET_minus_WUE_T",0.369953707949635,-1.05688397983091,-1.18782323066358,-1.79056874312642,0.602745512462848
"US-EDN",2020,4,"Saline","WUE_ET_minus_WUE_T",0.33694278903771,-1.24506973243673,-1.50306000109127,-2.160672250163,0.657612249071738
"US-EDN",2020,5,"Saline","WUE_ET_minus_WUE_T",0.37821697307117,-1.00977748243147,-1.33249706561678,-1.75408439296092,0.421587327344142
"US-EDN",2020,7,"Saline","WUE_ET_minus_WUE_T",0.329870424806313,-1.28538724644289,-1.73148376457512,-2.24850781494111,0.517024050365989
"US-EDN",2021,3,"Saline","WUE_ET_minus_WUE_T",0.196876077488321,-2.04354976258282,-2.32768785049463,-4.52109221564298,2.19340436514835
"US-EDN",2021,8,"Saline","WUE_ET_minus_WUE_T",0.372405404888509,-1.04290756085165,-1.75925094380988,-2.01490362486688,0.255652681056997
"US-EDN",2021,9,"Saline","WUE_ET_minus_WUE_T",0.290514639228106,-1.5097432587123,-2.52316770611022,-2.92470075749632,0.401533051386098
"US-EDN",2022,4,"Saline","WUE_ET_minus_WUE_T",0.413718099908875,-0.807395770788337,-1.2403541361912,-1.3257370142353,0.0853828780440973
"US-EDN",2022,7,"Saline","WUE_ET_minus_WUE_T",0.378626221088731,-1.00744447721,-2.02814536292319,-1.66508509586725,-0.363060267055938
"US-EDN",2023,7,"Saline","WUE_ET_minus_WUE_T",0.323036872030836,-1.32434336503673,-3.15872661136552,-2.34105187507184,-0.817674736293679
